trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
9,51,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7401088943737613
9,51,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7401088943737613
10,52,lambda_perturbation,linear,0.7,0.9283043043043042,0.7391304347826086,-0.04082262578803342,0.0,0.8272781955862412
10,52,lambda_perturbation,linear,0.725,0.9653333333333333,0.8348623853211009,-0.022935770915654574,0.04,0.84516505045862
10,52,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.11,0.8681008213742746
10,52,lambda_perturbation,linear,0.775,0.9674674674674676,0.8691588785046729,0.016142447412630045,0.18,0.8842432687869046
10,52,lambda_perturbation,linear,0.8,0.9371851851851852,0.7391304347826086,0.03193958938917307,0.25,0.9000404107634477
10,52,lambda_perturbation,geometric,0.7,0.9649582985821517,0.8867924528301887,-0.009339520655502143,0.0,0.810394988821848
10,52,lambda_perturbation,geometric,0.725,0.9826772310258548,0.9230769230769231,-0.006141958132350078,0.0,0.8135925513450001
10,52,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8197345094773502
10,52,lambda_perturbation,geometric,0.775,0.9826814011676395,0.941747572815534,0.0052208117568003365,0.0,0.8249553212341505
10,52,lambda_perturbation,geometric,0.8,0.965996663886572,0.8691588785046729,0.015865965946285643,0.0,0.8356004754236358
10,52,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7415841545069384
10,52,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7415841545069384
10,52,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7415841545069384
10,52,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7415841545069384
10,52,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7415841545069384
11,53,lambda_perturbation,linear,0.7,0.9267027027027027,0.7543859649122807,-0.035975114460414126,0.0,0.8229035616541414
11,53,lambda_perturbation,linear,0.725,0.9645205205205206,0.8691588785046729,-0.01651365473349442,0.05,0.8423650213810611
11,53,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.1,0.8588786761145555
11,53,lambda_perturbation,linear,0.775,0.9671911911911912,0.8518518518518519,0.015915447497165225,0.16,0.8747941236117207
11,53,lambda_perturbation,linear,0.8,0.9367487487487488,0.7391304347826086,0.028810328062840784,0.23,0.8876890041773963
11,53,lambda_perturbation,geometric,0.7,0.9640658882402,0.9047619047619048,-0.008826538977881215,0.0,0.8057991759743112
11,53,lambda_perturbation,geometric,0.725,0.9819224353628022,0.941747572815534,-0.0041683417042024384,0.0,0.8104573732479899
11,53,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8146257149521924
11,53,lambda_perturbation,geometric,0.775,0.9825437864887404,0.941747572815534,0.004500545008696788,0.0,0.8191262599608892
11,53,lambda_perturbation,geometric,0.8,0.9657047539616346,0.9047619047619048,0.009026217686383231,0.0,0.8236519326385756
11,53,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7336307396080515
11,53,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7336307396080515
